Percentage_loss,Class
39.736046,Yield
34.79292,Biomass
28.155869,Yield
32.19955,Biomass
33.956367,Biomass
35.68847,Yield
30.814728,Biomass
37.79348,Plant growth
36.587566,Yield
37.75463,Yield
37.40388,Biomass
37.574833,Yield
42.288242,Biomass
33.89361,Biomass
37.240185,Biomass
43.252857,Yield
35.24089,Yield
37.27791,Biomass
36.702175,Yield
43.461613,Plant growth
34.730988,Biomass
35.36934,Yield
32.198708,Biomass
37.185135,Yield
37.194828,Yield
31.765491,Biomass
37.559822,Yield
37.721684,Biomass
40.49814,Plant growth
33.724476,Biomass
31.69534,Biomass
37.96765,Biomass
42.04557,Yield
36.047974,Biomass
37.18264,Biomass
32.86991,Plant growth
34.26365,Biomass
34.85944,Biomass
35.294647,Biomass
35.638363,Biomass
42.166676,Yield
37.656513,Biomass
37.71344,Yield
33.895664,Biomass
35.256474,Yield
35.574493,Yield
28.69066,Biomass
35.45877,Biomass
39.705414,Biomass
35.17571,Biomass
37.85153,Yield
33.79103,Biomass
33.89712,Biomass
38.383682,Biomass
32.399185,Biomass
33.895664,Biomass
30.972391,Plant growth
38.246246,Yield
31.310472,Biomass
40.572723,Yield
36.587566,Yield
37.56825,Biomass
37.142353,Yield
36.72012,Plant growth
37.145924,Biomass
36.94633,Yield
33.210117,Plant growth
37.551643,Biomass
32.89658,Plant growth
36.941483,Yield
23.350863,Plant growth
38.592426,Biomass
37.1827,Biomass
40.49708,Biomass
38.57491,Biomass
37.23039,Biomass
54.89202,Biomass
35.24089,Yield
38.68273,Biomass
37.128742,Yield
34.656593,Plant growth
37.576004,Biomass
38.751144,Biomass
33.80836,Biomass
37.107533,Yield
36.142265,Biomass
36.052933,Yield
35.31808,Yield
40.976696,Yield
38.546738,Yield
37.415504,Biomass
41.103893,Yield
